Time [sec], q1 (deg), q2 (deg), q3 (deg), q4 (deg), q5 (deg), q6 (deg), Px (mm), Py (mm), Pz (mm), Rx (deg), Ry (deg), Rz (deg), c1 (A), c2 (A), c3 (A), c4 (A), c5 (A), c6 (A), Fx R (N), Fy R (N), Fz R (N), Tx R (Nm), Ty R (Nm), Tz R (Nm), Fx A (N), Fy A (N), Fz A (N), Tx A (Nm), Ty A (Nm), Tz A (Nm), Din, Dout
1648486790885.0637, -120.09629898868874, -162.92994523621277, 55.401522169427665, -166.4452250359649, 89.97021604950774, -0.026081304716779646, -611.5076352101763, -728.002731130898, 679.4871676937935, 45.171023102159424, 172.58466930137666, 5.725660155717987, 0.2700805962085724, 6.948853015899658, 1.27783203125, 0.2489776909351349, -0.0829925611615181, -0.01345825381577015, -1.9559174927836966, 4.653262308128739, -7.189525133612052, -3.074161699418568, -0.23278460026416425, -0.01942549237378799, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486791886.073, -120.09837536619642, -162.93270463263747, 55.40288820726167, -166.4473014134726, 89.96816016256757, -0.02881338038478475, -611.5417867877532, -727.9893424782199, 679.444013376821, 45.170124100887904, 172.5856745579132, 5.731620485463224, 0.2563476860523224, 6.944275379180908, 1.2823156118392944, 0.2422485649585724, -0.0852356031537056, -0.01345825381577015, -1.9853237599498823, 4.240571067402912, -6.854357068846195, -3.042154111510663, -0.2502800223906345, -0.032186453254875846, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486792886.4438, -120.09837536619642, -162.93131127404678, 55.40220518834467, -166.4466183945556, 89.96816016256757, -0.02881338038478475, -611.5382721910457, -727.9833776734772, 679.4647143569814, 45.170226218548066, 172.58609204262524, 5.729537584960941, 0.2426147758960724, 6.939697742462158, 1.2733484506607056, 0.2557068169116974, -0.0807495191693306, -0.02018737979233265, -1.2785511246978072, 4.544772497692331, -7.119711997330739, -2.9546654377860793, -0.1396234460350183, -0.1426243127850536, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486793886.7507, -120.09905838511342, -162.93270463263747, 55.40220518834467, -166.4486674513066, 89.96816016256757, -0.02881338038478475, -611.5506260372833, -727.9823730109352, 679.4356138406336, 45.17097571729442, 172.58478380936813, 5.734672274184241, 0.2609253227710724, 6.962585926055908, 1.280073881149292, 0.2646789848804474, -0.0807495191693306, -0.01794433780014515, -1.4470277010332775, 4.898867645815927, -7.652635743737372, -2.9965221645393387, -0.17891768768683833, -0.09414343068267539, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486794887.5322, -120.09769234727942, -162.93407067047147, 55.40083915051066, -166.4479844323896, 89.96816016256757, -0.026081304716779646, -611.5483045724241, -728.0161198168232, 679.4069981290642, 45.17291044360645, 172.58373841081095, 5.737815297911065, 0.2746582329273224, 6.921387195587158, 1.2733484506607056, 0.2512207329273224, -0.0785064771771431, -0.01570129580795765, -2.0374312533841503, 4.642382051126815, -6.533842703409427, -2.915843809909329, -0.2648937847464748, -0.039212797555909146, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486795887.7559, -120.10042442294743, -162.93270463263747, 55.40288820726167, -166.4479844323896, 89.96747031346139, -0.02813036146778347, -611.5692184597316, -727.9643412919388, 679.4418840139675, 45.17430092741442, 172.5850044131638, 5.73290792234171, 0.2426147758960724, 6.944275379180908, 1.2598974704742432, 0.2624359428882599, -0.0785064771771431, -0.01570129580795765, -0.8840423708310536, 5.102578560705461, -7.748925448354057, -3.0606324023883467, -0.03900698675809115, -0.08855929515472535, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486796889.4907, -120.09700932836242, -162.93131127404678, 55.39876277300298, -166.4452250359649, 89.96747031346139, -0.027447342550782197, -611.5372460975234, -728.0192514462736, 679.4479094138619, 45.1702099087514, 172.58618667497342, 5.7329419532777415, 0.2700805962085724, 6.944275379180908, 1.2598974704742432, 0.2489776909351349, -0.0650482252240181, -0.02018737979233265, -1.5086099378239517, 5.048784108782424, -7.636620731126275, -3.095601368554173, 0.086747663479631, -0.1030275913587207, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486797891.2615, -120.09974140403042, -162.93338765155448, 55.39876277300298, -166.4479844323896, 89.96816016256757, -0.027447342550782197, -611.5762144706581, -728.0011532262638, 679.4054639134536, 45.17378922117932, 172.58294825638538, 5.739822592272826, 0.2334595024585724, 6.971741199493408, 1.280073881149292, 0.2489776909351349, -0.0852356031537056, -0.01345825381577015, -1.2800596771717785, 4.431155451565968, -7.803359016291184, -3.1485732043445434, -0.09399884029014197, -0.06543186875420196, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486798893.2617, -120.10110744186443, -162.93407067047147, 55.401522169427665, -166.4486674513066, 89.96816016256757, -0.026764323633780923, -611.5877239980589, -727.9744593653822, 679.4090797581737, 45.1769917091022, 172.58254491885222, 5.737730589750044, 0.2517700493335724, 6.939697742462158, 1.2576557397842407, 0.2758941948413849, -0.0785064771771431, -0.01570129580795765, -0.771764710919445, 5.484105585810209, -7.7926072652005365, -2.981084893867532, -0.10053248786499813, -0.08223848130887912, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486799894.2617, -120.09974140403042, -162.9306282551298, 55.40220518834467, -166.4473014134726, 89.96678729454439, -0.02539828579977837, -611.5583894501607, -727.9573578523597, 679.4737043781913, 45.17769517392493, 172.5855661396314, 5.730169743763194, 0.2563476860523224, 6.925964832305908, 1.2711066007614136, 0.2467346489429474, -0.0874786451458931, -0.006729126907885075, -1.8511376074090469, 4.54123634214816, -6.710721724419651, -3.038642759814881, -0.2975752958900575, 0.054013025800088946, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
